,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
ADDOP, , , , , , , , , , , , , , , , , , , , , , ,ADDOP → minus A1,ADDOP → plus A1, , , , , , , , , , , , , , , , , , , , , ,ADDOP → or A1
APARAMS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
APARAMSTAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,APARAMSTAIL → comma EXPR, , , , , , , , , , , , , , , , , , , , 
ARITHEXPR, , , , ,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR, , , , , , , , , , , , , , , , ,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR, , , , , , , , , , , , , , , , , ,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR, , 
ARRAYSIZE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE → lsqbr ARRAYSIZE2, , , , , , , , 
ARRAYSIZE2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARRAYSIZE2 → rsqbr, , , , , , ,ARRAYSIZE2 → intlit F1 rsqbr, , 
ASSIGNOP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ASSIGNOP → equal A5, 
ASSIGNSTAT, , , , , ,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EXPR, , , , ,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2, , , , , , , , , , , , , , , , ,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2, , , , , , , , , , , , , , , , , ,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2, , 
EXPR2, , , ,EXPR2 → &epsilon, , , , , , , , , , , , , , , , , , , , , ,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR, , , , , , , , , , , , , , 
FACTOR, , , , ,FACTOR → lpar ARITHEXPR rpar,FACTOR → id I1 FACTOR2 REPTVARIABLEORFUNCTIONCALL, , , , , , , , , , , , , , , , ,FACTOR → SIGN FACTOR F5,FACTOR → SIGN FACTOR F5, , , , , , , , , , , , , , , , , ,FACTOR → not F3 FACTOR F4,FACTOR → floatlit F2,FACTOR → intlit F1, , 
FACTOR2, , , , ,FACTOR2 → lpar APARAMS F7 rpar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
REPTVARIABLEORFUNCTIONCALL, , , ,REPTVARIABLEORFUNCTIONCALL → &epsilon, , ,REPTVARIABLEORFUNCTIONCALL → IDNEST3 REPTVARIABLEORFUNCTIONCALL, , , , , , , , , , , , , , , ,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon, ,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon, ,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon, , , , , , , , ,REPTVARIABLEORFUNCTIONCALL → &epsilon
IDNEST, , , , , ,IDNEST → id I1 IDNEST2 dot, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
IDNEST2, , , , ,IDNEST2 → lpar APARAMS rpar F7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
